BHK,Total Area,Price,bedroom
1 BHK Apartment in Shilphata,"345 sq.ft.
(32 sq.m.) Carpet Area","₹ 31 L
₹ 8,985/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Panvel,"490 sq.ft.
(46 sq.m.) Super built-up Area","₹ 40 L
₹ 8,163/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Taloja,"700 sq.ft.
(65 sq.m.) Super built-up Area","₹ 41.5 L
₹ 5,928/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Shilphata,"1,260 sq.ft.
(117 sq.m.) Carpet Area","₹ 70 L
₹ 5,555/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Taloja,"900 sq.ft.
(84 sq.m.) Built-up Area","₹ 60 L
₹ 6,666/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in sector 19c koparkhairne,"345 sq.ft.
(32 sq.m.) Carpet Area","₹ 30 L
₹ 8,695/sq.ft.","1 BHK
1 Bath"
"1 BHK Apartment in Plot No 172, Sector 20, Ulwe, Navi Mumbai","565 sq.ft.
(52 sq.m.) Built-up Area","₹ 40 L
₹ 7,079/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector-50 new Seawoods,"1,100 sq.ft.
(102 sq.m.) Carpet Area","₹ 1.45 Cr
₹ 13,181/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector-11 Nerul,"1,200 sq.ft.
(111 sq.m.) Carpet Area","₹ 3 Cr
₹ 25,000/sq.ft.","3 BHK
2 Baths"
1 BHK Apartment in Shilphata,"725 sq.ft.
(67 sq.m.) Super built-up Area","₹ 45 L
₹ 6,206/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Panvel,"1,205 sq.ft.
(112 sq.m.) Super built-up Area","₹ 93 L
₹ 7,717/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Taloja,"1,080 sq.ft.
(100 sq.m.) Super built-up Area","₹ 85 L
₹ 7,870/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Shilphata,"621 sq.ft.
(58 sq.m.) Super built-up Area","₹ 35 L
₹ 5,636/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in shilphata,"395 sq.ft.
(37 sq.m.) Carpet Area","₹ 40 L
₹ 10,126/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Panvel,"450 sq.ft.
(42 sq.m.) Carpet Area","₹ 40 L
₹ 8,875/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kalamboli,"1,060 sq.ft.
(98 sq.m.) Built-up Area","₹ 78 L
₹ 7,358/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Shilphata,"1,000 sq.ft.
(93 sq.m.) Carpet Area","₹ 70 L
₹ 7,000/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Taloja,"500 sq.ft.
(46 sq.m.) Built-up Area","₹ 40 L
₹ 8,000/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Taloja,"1,100 sq.ft.
(102 sq.m.) Super built-up Area","₹ 55 L
₹ 5,454/sq.ft.","2 BHK
2 Baths"
"3 BHK Apartment in Sector 1, Sanpada","1,400 sq.ft.
(130 sq.m.) Super built-up Area","₹ 1.58 Cr
₹ 11,285/sq.ft.","3 BHK
3 Baths"
1 BHK Apartment in Panvel,"706 sq.ft.
(66 sq.m.) Built-up Area","₹ 40 L
₹ 5,665/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Panvel,"380 sq.ft.
(35 sq.m.) Carpet Area","₹ 32 L
₹ 8,421/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Sector-8 Kamothe,"3,000 sq.ft.
(279 sq.m.) Super built-up Area","₹ 2 Cr
₹ 6,666/sq.ft.","3 BHK
3 Baths"
1 BHK Apartment in Uran,"774 sq.ft.
(72 sq.m.) Super built-up Area","₹ 54.5 L
₹ 7,041/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Kon village,"485 sq.ft.
(45 sq.m.) Super built-up Area","₹ 45 L
₹ 9,268/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Panvel,"590 sq.ft.
(55 sq.m.) Super built-up Area","₹ 34 L
₹ 5,762/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Panvel,"830 sq.ft.
(77 sq.m.) Super built-up Area","₹ 76 L
₹ 9,156/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Ghansoli Gaon,"525 sq.ft.
(49 sq.m.) Built-up Area","₹ 28 L
₹ 5,333/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Panvel,"489 sq.ft.
(45 sq.m.) Carpet Area","₹ 58 L
₹ 11,850/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Panvel,"595 sq.ft.
(55 sq.m.) Super built-up Area","₹ 35 L
₹ 5,883/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in New Panvel,"674 sq.ft.
(63 sq.m.) Carpet Area","₹ 67 L
₹ 9,940/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Taloja,"599 sq.ft.
(56 sq.m.) Built-up Area","₹ 32 L
₹ 5,342/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Shilphata,"3,592 sq.ft.
(334 sq.m.) Carpet Area","₹ 39 L
₹ 1,085/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Sector-5 Airoli,"630 sq.ft.
(59 sq.m.) Super built-up Area","₹ 1.1 Cr
₹ 17,460/sq.ft.","2 BHK
1 Bath"
1 BHK Apartment in Panvel,"615 sq.ft.
(57 sq.m.) Super built-up Area","₹ 30 L
₹ 4,878/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Panvel,"550 sq.ft.
(51 sq.m.) Carpet Area","₹ 48 L
₹ 8,727/sq.ft.","1 BHK
1 Bath"
6 BHK Apartment in Sector 5,"2,500 sq.ft.
(232 sq.m.) Built-up Area","₹ 3.75 Cr
₹ 12,000/sq.ft.","6 BHK
6 Baths"
"3 BHK Apartment in Wakadi, Off Panvel Matheran Road, New Panvel","845 sq.ft.
(79 sq.m.) Carpet Area","₹ 58 L
₹ 6,863/sq.ft.","3 BHK
3 Baths"
1 BHK Apartment in Shilphata,"501 sq.ft.
(47 sq.m.) Carpet Area","₹ 45 L
₹ 8,982/sq.ft.","1 BHK
2 Baths"
3 BHK Apartment in Panvel,"1,350 sq.ft.
(125 sq.m.) Super built-up Area","₹ 1.14 Cr
₹ 8,444/sq.ft.","3 BHK
2 Baths"
1 BHK Apartment in New Panvel,"650 sq.ft.
(60 sq.m.) Built-up Area","₹ 28.5 L
₹ 4,384/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in New Panvel,"515 sq.ft.
(48 sq.m.) Super built-up Area","₹ 35 L
₹ 6,796/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Dronagiri,"650 sq.ft.
(60 sq.m.) Super built-up Area","₹ 40 L
₹ 5,000/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 8,"695 sq.ft.
(65 sq.m.) Super built-up Area","₹ 48 L
₹ 6,906/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Umroli,"785 sq.ft.
(73 sq.m.) Super built-up Area","₹ 22.99 L
₹ 2,928/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Panvel,"477 sq.ft.
(44 sq.m.) Carpet Area","₹ 40 L
₹ 8,385/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in paranjpe stays B Scheme,"625 sq.ft.
(58 sq.m.) Carpet Area","₹ 2.25 Cr
₹ 36,000/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Digha,"534 sq.ft.
(50 sq.m.) Super built-up Area","₹ 17 L
₹ 3,183/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Navade,"600 sq.ft.
(56 sq.m.) Super built-up Area","₹ 37 L
₹ 6,166/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Taloja Panchanand,"680 sq.ft.
(63 sq.m.) Carpet Area","₹ 36 L
₹ 5,294/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Dronagiri sector 52 land mark bilding,"750 sq.ft.
(70 sq.m.) Carpet Area","₹ 55 L
₹ 7,333/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Panvel,"950 sq.ft.
(88 sq.m.) Super built-up Area","₹ 75 L
₹ 7,895/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Palaspa,"515 sq.ft.
(48 sq.m.) Carpet Area","₹ 30 L
₹ 5,825/sq.ft.","1 BHK
1 Bath"
"2 BHK Apartment in Sector-13, Near Shilp Chowk, Kharghar","730 sq.ft.
(68 sq.m.) Built-up Area","₹ 76 L
₹ 8,333/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Panvel,"930 sq.ft.
(86 sq.m.) Built-up Area","₹ 45 L
₹ 4,086/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-24 Taloja,"1,085 sq.ft.
(101 sq.m.) Super built-up Area","₹ 75 L
₹ 6,912/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Taloja Panchanand,"690 sq.ft.
(64 sq.m.) Super built-up Area","₹ 32 L
₹ 4,637/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Shilphata,"695 sq.ft.
(65 sq.m.) Built-up Area","₹ 52 L
₹ 7,482/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Taloja Panchanand,"738 sq.ft.
(69 sq.m.) Super built-up Area","₹ 60 L
₹ 8,130/sq.ft.","1 BHK
1 Bath"
"1 BHK Apartment in Sector 20C, Airoli","510 sq.ft.
(47 sq.m.) Carpet Area","₹ 75 L
₹ 14,705/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Chipale,"1,069 sq.ft.
(99 sq.m.) Super built-up Area","₹ 75 L
₹ 7,015/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 4 Kharghar,"440 sq.ft.
(41 sq.m.) Built-up Area","₹ 57 L
₹ 12,954/sq.ft.","1 BHK
1 Bath"
Apartment in Sukapur,"350 sq.ft.
(33 sq.m.) Built-up Area","₹ 18 L
₹ 5,142/sq.ft.",1 Bath
1 BHK Apartment in Taloja,"750 sq.ft.
(70 sq.m.) Super built-up Area","₹ 37 L
₹ 4,934/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Devad,"660 sq.ft.
(61 sq.m.) Super built-up Area","₹ 33 L
₹ 5,000/sq.ft.","1 BHK
1 Bath"
"1 BHK Apartment in Sector 5, Plot 79, Ulwe","350 sq.ft.
(33 sq.m.) Carpet Area","₹ 43 L
₹ 12,285/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Shilphata,"680 sq.ft.
(63 sq.m.) Super built-up Area","₹ 48.5 L
₹ 7,132/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Harigram,"600 sq.ft.
(56 sq.m.) Super built-up Area","₹ 32 L
₹ 5,333/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Vaje,"550 sq.ft.
(51 sq.m.) Super built-up Area","₹ 21 L
₹ 3,819/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Bharat Seva Ashram Sangh,"345 sq.ft.
(32 sq.m.) Built-up Area","₹ 40 L
₹ 11,594/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Taloja,"1,085 sq.ft.
(101 sq.m.) Super built-up Area","₹ 55 L
₹ 5,069/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Taloja,"1,082 sq.ft.
(101 sq.m.) Built-up Area","₹ 73 L
₹ 6,746/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Shilphata,"635 sq.ft.
(59 sq.m.) Carpet Area","₹ 70 L
₹ 11,023/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in NCHS,"550 sq.ft.
(51 sq.m.) Carpet Area","₹ 45 L
₹ 8,181/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Panvel Morbe,"840 sq.ft.
(78 sq.m.) Built-up Area","₹ 30 L
₹ 3,571/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Airoli,"440 sq.ft.
(41 sq.m.) Super built-up Area","₹ 90 L
₹ 20,454/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Taloja,"595 sq.ft.
(55 sq.m.) Super built-up Area","₹ 27 L
₹ 4,537/sq.ft.","1 BHK
1 Bath"
4 BHK Apartment in Sector-6 Kalamboli,"2,200 sq.ft.
(204 sq.m.) Built-up Area","₹ 1.1 Cr
₹ 5,000/sq.ft.","4 BHK
3 Baths"
2 BHK Apartment in Panvel,"1,205 sq.ft.
(112 sq.m.) Super built-up Area","₹ 82 L
₹ 5,726/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Panvel,"630 sq.ft.
(59 sq.m.) Built-up Area","₹ 55 L
₹ 8,730/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Panvel,"475 sq.ft.
(44 sq.m.) Built-up Area","₹ 30 L
₹ 6,315/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Panvel,"515 sq.ft.
(48 sq.m.) Super built-up Area","₹ 30 L
₹ 5,826/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in New Panvel,"630 sq.ft.
(59 sq.m.) Super built-up Area","₹ 65 L
₹ 10,317/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Usarli Khurd,"453 sq.ft.
(42 sq.m.) Carpet Area","₹ 42 L
₹ 9,271/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in New Panvel,"345 sq.ft.
(32 sq.m.) Carpet Area","₹ 52 L
₹ 15,072/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Umroli,"450 sq.ft.
(42 sq.m.) Carpet Area","₹ 32 L
₹ 7,777/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Navade,"1,087 sq.ft.
(101 sq.m.) Super built-up Area","₹ 60 L
₹ 5,520/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in New Panvel,"660 sq.ft.
(61 sq.m.) Super built-up Area","₹ 64 L
₹ 9,090/sq.ft.","1 BHK
1 Bath"
"1 BHK Apartment in Sukhapur, New Panvel","615 sq.ft.
(57 sq.m.) Built-up Area","₹ 43 L
₹ 6,991/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sai Nagar,"806 sq.ft.
(75 sq.m.) Built-up Area","₹ 65 L
₹ 8,064/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Palaspe Phata,"585 sq.ft.
(54 sq.m.) Built-up Area","₹ 30 L
₹ 5,128/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Panvel,"542 sq.ft.
(50 sq.m.) Super built-up Area","₹ 48 L
₹ 8,856/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Panvel,"450 sq.ft.
(42 sq.m.) Carpet Area","₹ 58 L
₹ 12,888/sq.ft.","1 BHK
2 Baths"
"1 BHK Apartment in Sector 9, Koparkhairane","270 sq.ft.
(25 sq.m.) Carpet Area","₹ 90 L
₹ 33,333/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Taloja,"695 sq.ft.
(65 sq.m.) Super built-up Area","₹ 44 L
₹ 6,330/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in New Panvel,"661 sq.ft.
(61 sq.m.) Built-up Area","₹ 44 L
₹ 6,656/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in mankhurd east,"322 sq.ft.
(30 sq.m.) Carpet Area","₹ 25 L
₹ 7,763/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector-5 Sanpada,"750 sq.ft.
(70 sq.m.) Built-up Area","₹ 75 L
₹ 10,000/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector 20 Ulwe,"1,000 sq.ft.
(93 sq.m.) Super built-up Area","₹ 75 L
₹ 7,500/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in New Panvel,"700 sq.ft.
(65 sq.m.) Carpet Area","₹ 75 L
₹ 10,714/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Panvel,"1,465 sq.ft.
(136 sq.m.) Super built-up Area","₹ 1.3 Cr
₹ 8,873/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Old Panvel,"1,221 sq.ft.
(113 sq.m.) Built-up Area","₹ 89 L
₹ 7,289/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Panvel,"765 sq.ft.
(71 sq.m.) Super built-up Area","₹ 36.5 L
₹ 4,771/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in devad,"460 sq.ft.
(43 sq.m.) Carpet Area","₹ 21 L
₹ 4,565/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Taloja,"525 sq.ft.
(49 sq.m.) Built-up Area","₹ 26.5 L
₹ 5,365/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Taloja Panchanand,"636 sq.ft.
(59 sq.m.) Built-up Area","₹ 35 L
₹ 5,503/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Taloja Panchanand,"1,134 sq.ft.
(105 sq.m.) Built-up Area","₹ 1 Cr
₹ 8,819/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Taloja,"373 sq.ft.
(35 sq.m.) Carpet Area","₹ 45 L
₹ 12,064/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Kolkhe Village,"1,000 sq.ft.
(93 sq.m.) Built-up Area","₹ 43 L
₹ 4,300/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in New Panvel,"629 sq.ft.
(58 sq.m.) Super built-up Area","₹ 34 L
₹ 5,325/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Kalamboli,"670 sq.ft.
(62 sq.m.) Super built-up Area","₹ 56 L
₹ 8,358/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Panvel,"664 sq.ft.
(62 sq.m.) Super built-up Area","₹ 60 L
₹ 9,036/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Ghotkamp Koyana Vele,"341 sq.ft.
(32 sq.m.) Carpet Area","₹ 38 L
₹ 11,143/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Panvel,"485 sq.ft.
(45 sq.m.) Carpet Area","₹ 5.3 Cr
₹ 109,278/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Sector-24 Taloja,"1,070 sq.ft.
(99 sq.m.) Carpet Area","₹ 70 L
₹ 6,542/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Ulwe,"1,050 sq.ft.
(98 sq.m.) Super built-up Area","₹ 82 L
₹ 7,809/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Taloja Panchanand,"690 sq.ft.
(64 sq.m.) Super built-up Area","₹ 75 L
₹ 10,869/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Shilphata,"840 sq.ft.
(78 sq.m.) Super built-up Area","₹ 55 L
₹ 6,547/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Karanjade,"985 sq.ft.
(92 sq.m.) Super built-up Area","₹ 70 L
₹ 7,106/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Palidevad,"690 sq.ft.
(64 sq.m.) Super built-up Area","₹ 48 L
₹ 6,956/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Chipale,"870 sq.ft.
(81 sq.m.) Built-up Area","₹ 52 L
₹ 5,977/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Taloja Panchanand,"650 sq.ft.
(60 sq.m.) Built-up Area","₹ 38 L
₹ 5,846/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Ulwe,"1,175 sq.ft.
(109 sq.m.) Super built-up Area","₹ 1.51 Cr
₹ 12,851/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in New Panvel,"870 sq.ft.
(81 sq.m.) Built-up Area","₹ 55 L
₹ 6,321/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Airoli Sector 19 Navi Mumbai 400708,"375 sq.ft.
(35 sq.m.) Built-up Area","₹ 65 L
₹ 18,666/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector-1 Airoli,"946 sq.ft.
(88 sq.m.) Carpet Area","₹ 1.25 Cr
₹ 13,213/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Ulwe,"680 sq.ft.
(63 sq.m.) Super built-up Area","₹ 65 L
₹ 9,558/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in chambrli,"540 sq.ft.
(50 sq.m.) Built-up Area","₹ 23.25 L
₹ 4,166/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Shilphata,"685 sq.ft.
(64 sq.m.) Super built-up Area","₹ 55 L
₹ 8,029/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in palava,"585 sq.ft.
(54 sq.m.) Super built-up Area","₹ 42 L
₹ 7,180/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Panvel,"863 sq.ft.
(80 sq.m.) Super built-up Area","₹ 63 L
₹ 7,300/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Umroli,"630 sq.ft.
(59 sq.m.) Super built-up Area","₹ 32 L
₹ 5,079/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Shilphata,"686 sq.ft.
(64 sq.m.) Super built-up Area","₹ 55 L
₹ 8,017/sq.ft.","1 BHK
1 Bath"
"3 BHK Apartment in Behind Eshwar Ecstasy, Adj. SAHARA Supermarket","1,435 sq.ft.
(133 sq.m.) Super built-up Area","₹ 3 Cr
₹ 20,905/sq.ft.","3 BHK
2 Baths"
1 BHK Apartment in Umroli,"630 sq.ft.
(59 sq.m.) Super built-up Area","₹ 32 L
₹ 5,079/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Shilphata,"686 sq.ft.
(64 sq.m.) Super built-up Area","₹ 55 L
₹ 8,017/sq.ft.","1 BHK
1 Bath"
"3 BHK Apartment in Behind Eshwar Ecstasy, Adj. SAHARA Supermarket","1,435 sq.ft.
(133 sq.m.) Super built-up Area","₹ 3 Cr
₹ 20,905/sq.ft.","3 BHK
2 Baths"
1 BHK Apartment in Jui,"570 sq.ft.
(53 sq.m.) Built-up Area","₹ 29.5 L
₹ 5,176/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Kharghar,"500 sq.ft.
(46 sq.m.) Super built-up Area","₹ 11 L
₹ 2,200/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector-18 Ulwe,"731 sq.ft.
(68 sq.m.) Built-up Area","₹ 65 L
₹ 8,891/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Sector-14 Taloja,"655 sq.ft.
(61 sq.m.) Built-up Area","₹ 33 L
₹ 5,038/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Khandeshwar,"1,020 sq.ft.
(95 sq.m.) Built-up Area","₹ 82 L
₹ 8,039/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector-9 Kamothe,"375 sq.ft.
(35 sq.m.) Super built-up Area","₹ 32.25 L
₹ 8,600/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Panvel,"751 sq.ft.
(70 sq.m.) Carpet Area","₹ 58 L
₹ 7,723/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Ulwe,"660 sq.ft.
(61 sq.m.) Built-up Area","₹ 50 L
₹ 7,575/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in New Panvel,"6,237 sq.ft.
(579 sq.m.) Super built-up Area","₹ 37 L
₹ 593/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Sector-50 Seawoods,"861 sq.ft.
(80 sq.m.) Super built-up Area","₹ 88 L
₹ 10,220/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector-35D Kharghar,"660 sq.ft.
(61 sq.m.) Super built-up Area","₹ 65 L
₹ 8,181/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Kamothe,"1,450 sq.ft.
(135 sq.m.) Super built-up Area","₹ 1.18 Cr
₹ 8,137/sq.ft.","3 BHK
3 Baths"
1 BHK Apartment in Sector 26 Vashi,"610 sq.ft.
(57 sq.m.) Super built-up Area","₹ 55 L
₹ 9,016/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Ghansoli,"590 sq.ft.
(55 sq.m.) Super built-up Area","₹ 50 L
₹ 8,474/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in vichumbe,"750 sq.ft.
(70 sq.m.) Carpet Area","₹ 55 L
₹ 7,333/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector-4A Koparkhairane,"280 sq.ft.
(26 sq.m.) Carpet Area","₹ 21 L
₹ 7,500/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector-48 Seawoods,"430 sq.ft.
(40 sq.m.) Carpet Area","₹ 65 L
₹ 15,116/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 16A Nerul,"350 sq.ft.
(33 sq.m.) Built-up Area","₹ 40 L
₹ 11,428/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Pushpak Nagar,"670 sq.ft.
(62 sq.m.) Built-up Area",₹ 33.8 L,"1 BHK
1 Bath"
1 BHK Apartment in Sanpada,"375 sq.ft.
(35 sq.m.) Carpet Area","₹ 65 L
₹ 17,333/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in New Panvel,"765 sq.ft.
(71 sq.m.) Built-up Area","₹ 40 L
₹ 5,228/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-16 Koparkhairane,"600 sq.ft.
(56 sq.m.) Carpet Area","₹ 90 L
₹ 15,833/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector-12 Kopar Khairane,"650 sq.ft.
(60 sq.m.) Built-up Area","₹ 70 L
₹ 10,769/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Kharghar,"1,080 sq.ft.
(100 sq.m.) Built-up Area","₹ 85 L
₹ 7,407/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Taloja,"584 sq.ft.
(54 sq.m.) Built-up Area","₹ 27 L
₹ 4,623/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Kharghar,"400 sq.ft.
(37 sq.m.) Carpet Area","₹ 28 L
₹ 7,000/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Taloja Panchanand,"990 sq.ft.
(92 sq.m.) Built-up Area","₹ 52 L
₹ 5,252/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 19 Ulwe,"950 sq.ft.
(88 sq.m.) Built-up Area","₹ 74 L
₹ 7,789/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Airoli,"650 sq.ft.
(60 sq.m.) Super built-up Area","₹ 65 L
₹ 10,769/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Panvel,"667 sq.ft.
(62 sq.m.) Carpet Area","₹ 32 L
₹ 4,797/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Ghansoli,"380 sq.ft.
(35 sq.m.) Super built-up Area","₹ 58 L
₹ 15,263/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Nerul West opposite Station,"460 sq.ft.
(43 sq.m.) Carpet Area","₹ 63 L
₹ 13,695/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 44 Seawoods,"400 sq.ft.
(37 sq.m.) Carpet Area","₹ 52 L
₹ 13,000/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Koperkhairane,"1,291 sq.ft.
(120 sq.m.) Super built-up Area","₹ 1.8 Cr
₹ 13,942/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Sector-50 Seawoods,"1,500 sq.ft.
(139 sq.m.) Super built-up Area","₹ 1.59 Cr
₹ 12,000/sq.ft.","3 BHK
3 Baths"
